Date,Mars Ecliptic Longitude (deg),Sun Ecliptic Longitude (deg),Angular Separation (deg),Visible at Night
2000-01-01,327.5793596537979,279.8631054261097,47.71625422768818,True
2000-01-02,328.3549924165372,280.88249804458025,47.47249437195694,True
2000-01-03,329.13063723006326,281.90196937478476,47.2286678552785,True
2000-01-04,329.9062776210293,282.9214987243569,46.98477889667237,True
2000-01-05,330.6818960131263,283.9410641622692,46.74083185085709,True
2000-01-06,331.4574737725031,284.96064270623003,46.496831066273046,True
2000-01-07,332.23299125155086,285.9802105395,46.25278071205088,True
2000-01-08,333.0084278494966,286.99974327906176,46.008684570434866,True
2000-01-09,333.78376210214776,288.0192163003197,45.764545801828035,True
2000-01-10,334.5589718056255,289.0386051115874,45.5203666940381,True
2000-01-11,335.3340341731542,290.05788576838626,45.27614840476792,True
2000-01-12,336.1089260229147,291.07703532438353,45.031890698531186,True
2000-01-13,336.8836240002635,292.0960323300121,44.7875916702514,True
2000-01-14,337.65810484847736,293.11485740434233,44.543247444135034,True
2000-01-15,338.43234575466045,294.13349390927385,44.298851845386594,True
2000-01-16,339.2063248037893,295.1519287332694,44.054396070519886,True
2000-01-17,339.9800215623743,296.1701531311092,43.8098684312651,True
2000-01-18,340.75341777131877,297.1881634647181,43.56525430660065,True
2000-01-19,341.52649805203146,298.2059615774931,43.32053647453836,True
2000-01-20,342.2992504440854,299.22355448607965,43.075695958005724,True
2000-01-21,343.07166655477596,300.2409531840555,42.830713370720446,True
2000-01-22,343.8437411735467,301.2581706464899,42.5855705270568,True
2000-01-23,344.6154713871193,302.275219472227,42.34025191489235,True
2000-01-24,345.3868554260166,303.29210977124507,42.09474565477154,True
2000-01-25,346.1578915531431,304.30884777050517,41.84904378263792,True
2000-01-26,346.9285772309869,305.3254352785925,41.60314195239437,True
2000-01-27,347.69890864965396,306.3418698431249,41.35703880652903,True
2000-01-28,348.468880565699,307.3581452979582,41.110735267740836,True
2000-01-29,349.23848634096356,308.3742524205585,40.86423392040507,True
2000-01-30,350.0077180714492,309.39017951832705,40.61753855312213,True
2000-01-31,350.7765667265047,310.40591286318903,40.37065386331568,True
2000-02-01,351.5450222532086,311.4214369653765,40.1235852878321,True
2000-02-02,352.3130736288471,312.4367347188386,39.87633891000854,True
