Day N#,Start_Date,Mars_X,Mars_Y,Measurements_used
0,2000-01-01,1.3879108569450564,-0.007655799426263954,11
1,2000-01-02,1.3901318767084356,0.0066318355778716065,10
2,2000-01-03,1.3915462581036213,0.020396604603999474,11
3,2000-01-04,1.391944670603962,0.03560995646061754,11
4,2000-01-05,1.3921900128632336,0.050819707835989505,11
5,2000-01-06,1.3922822702399862,0.0660241385038859,11
6,2000-01-07,1.3922214366009353,0.08122153805678725,11
7,2000-01-08,1.3920075209494673,0.09641020920603947,11
8,2000-01-09,1.3916405536424519,0.11158847240980267,11
9,2000-01-10,1.3911205912143763,0.1267546704196128,11
10,2000-01-11,1.3904477192024374,0.14190717108650514,11
11,2000-01-12,1.3896220529470296,0.15704436731033364,11
12,2000-01-13,1.388643736944417,0.17216467416744452,11
13,2000-01-14,1.3875129436766747,0.1872665243664274,11
14,2000-01-15,1.3862298728039515,0.20234836359862549,11
15,2000-01-16,1.3847947512813699,0.21740864694614068,11
16,2000-01-17,1.3832078345576664,0.23244583670450686,11
17,2000-01-18,1.381469408663136,0.24745840127595187,11
18,2000-01-19,1.3795797927611846,0.26244481444420226,11
19,2000-01-20,1.3775393416520678,0.27740355435560393,11
20,2000-01-21,1.3753484478033335,0.29233310181383004,11
21,2000-01-22,1.3730075427063295,0.30723193793773323,11
22,2000-01-23,1.3705170975600958,0.32209854166433727,11
23,2000-01-24,1.3678776232379093,0.33693138778269477,11
24,2000-01-25,1.3650896691585295,0.3517289460568236,11
25,2000-01-26,1.3621538203663084,0.3664896816603024,11
26,2000-01-27,1.3590706922775209,0.38121205679966735,11
27,2000-01-28,1.355840942584621,0.395894551233795,11
28,2000-01-29,1.3524651862977382,0.4105355927339705,11
29,2000-01-30,1.3489441051213868,0.42513366742823644,11
30,2000-01-31,1.3452783668379305,0.4396872497622183,11
31,2000-02-01,1.3414686453271378,0.45419482164935004,11
32,2000-02-02,1.337515624361817,0.46865487367348885,11
33,2000-02-03,1.3334200031432073,0.483065906813268,11
34,2000-02-04,1.3291825020001238,0.49742643507414136,11
35,2000-02-05,1.3248038670301698,0.5117349889511199,11
36,2000-02-06,1.3202848730516126,0.5259901191300157,11
37,2000-02-07,1.3156263247484898,0.5401903995552559,11
38,2000-02-08,1.3108290561312852,0.5543344290964333,11
39,2000-02-09,1.305893928477876,0.5684208314972765,11
40,2000-02-10,1.3008218270181269,0.5824482539301673,11
41,2000-02-11,1.295613656895013,0.5964153650314227,11
42,2000-02-12,1.290270339192729,0.6103208534385735,11
43,2000-02-13,1.284792807797249,0.624163427458278,11
44,2000-02-14,1.2791820075047577,0.6379418157625675,11
45,2000-02-15,1.2734388933590821,0.6516547683474606,11
46,2000-02-16,1.2675644309707685,0.6653010567381523,11
47,2000-02-17,1.2615595976303988,0.6788794726953844,11
48,2000-02-18,1.2554253842022798,0.692388825330912,11
49,2000-02-19,1.2491627977924256,0.7058279372987543,11
50,2000-02-20,1.2427728648303067,0.719195641247704,11
51,2000-02-21,1.2362566335172023,0.732490777653045,11
52,2000-02-22,1.2296151739478436,0.7457121944003748,11
53,2000-02-23,1.2228495742360785,0.758858747503495,11
54,2000-02-24,1.2159609320964744,0.7719293018184691,11
55,2000-02-25,1.2089503432887447,0.7849227309204854,11
56,2000-02-26,1.201818890170509,0.7978379161507888,11
57,2000-02-27,1.1945676342111855,0.8106737456353211,11
58,2000-02-28,1.1871976151765382,0.8234291144069876,11
59,2000-02-29,1.1797098573735005,0.8361029265502492,11
60,2000-03-01,1.1721053811159332,0.8486940996990653,11
61,2000-03-02,1.1643852163596655,0.8612015714834774,11
62,2000-03-03,1.1565504153613921,0.873624306816356,11
63,2000-03-04,1.1486020619300554,0.8859613044328333,11
64,2000-03-05,1.1405412760710947,0.8982116010935769,11
65,2000-03-06,1.1323692142255668,0.9103742724811082,11
66,2000-03-07,1.1240870663790583,0.9224484308696871,11
67,2000-03-08,1.1156960517000127,0.9344332206927125,11
68,2000-03-09,1.1071974141319307,0.9463278137615777,11
69,2000-03-10,1.0985924188546394,0.9581314058985699,11
70,2000-03-11,1.0898823500119934,0.9698432161328241,11
71,2000-03-12,1.0810685096498789,0.9814624885917561,11
72,2000-03-13,1.0721522174340887,0.9929884961662829,11
73,2000-03-14,1.0631348105028486,1.004420544279502,11
74,2000-03-15,1.05401764287966,1.0157579728949917,11
75,2000-03-16,1.0448020842664525,1.0270001554093031,11
76,2000-03-17,1.0354895185502546,1.0381464941794931,11
77,2000-03-18,1.0260813425562358,1.049196413671879,11
78,2000-03-19,1.0165789650981774,1.0601493529638684,11
79,2000-03-20,1.006983805305068,1.071004759199385,11
80,2000-03-21,0.997297288234659,1.08176208265199,11
81,2000-03-22,0.9875208358492872,1.0924207728262636,11
82,2000-03-23,0.9776558529199122,1.1029802743232533,11
83,2000-03-24,0.9677037097294904,1.113440021523397,11
84,2000-03-25,0.9576657253571073,1.1237994322991056,11
85,2000-03-26,0.947543155844899,1.1340579022073949,11
86,2000-03-27,0.937337190357646,1.1442148011849635,11
87,2000-03-28,0.9270489560050338,1.1542694743833462,11
88,2000-03-29,0.9166795294279015,1.1642212476968623,11
89,2000-03-30,0.9062299516839546,1.1740694372579283,11
90,2000-03-31,0.8957012427929312,1.1838133610617154,11
91,2000-04-01,0.8841822451955367,1.194040838077679,10
92,2000-04-02,0.8734852466790738,1.2035553974601327,10
93,2000-04-03,0.8627133094033204,1.212963357180588,10
94,2000-04-04,0.851867471227806,1.2222641587878642,10
95,2000-04-05,0.8409487586521412,1.231457258316909,10
96,2000-04-06,0.829958185372677,1.240542116958281,10
97,2000-04-07,0.8188967522672267,1.2495181938061213,10
98,2000-04-08,0.8077654490335104,1.2583849427798304,10
99,2000-04-09,0.7965652571279679,1.2671418142999955,10
100,2000-04-10,0.7852971533341148,1.275788260762456,10
101,2000-04-11,0.7739621132667414,1.2843237437543997,10
102,2000-04-12,0.7625611143643354,1.2927477405602061,10
103,2000-04-13,0.7510951383495769,1.3010597478988468,10
104,2000-04-14,0.7395651735669309,1.3092592819538302,10
105,2000-04-15,0.7279722177636857,1.3173458752248195,10
106,2000-04-16,0.7163172815023112,1.3253190718208274,10
107,2000-04-17,0.7046013914523699,1.3331784228995773,10
108,2000-04-18,0.6928255917640829,1.3409234830610044,10
109,2000-04-19,0.6809909414493824,1.3485538073374665,10
110,2000-04-20,0.6691018802996983,1.3560699449925353,11
111,2000-04-21,0.6571049812128009,1.363454710103664,11
112,2000-04-22,0.6450520437106813,1.370721896731842,11
113,2000-04-23,0.6329441402471929,1.3778710045099234,11
114,2000-04-24,0.6207823231651199,1.384901518203657,11
115,2000-04-25,0.608567628001667,1.3918129105305708,11
116,2000-04-26,0.5963010798983306,1.3986046487901638,11
117,2000-04-27,0.5839837009942093,1.4052762048438743,11
118,2000-04-28,0.5716165168856168,1.4118270671600757,11
119,2000-04-29,0.5592005609958002,1.4182567529825951,11
120,2000-04-30,0.5467368765616961,1.4245648182748747,11
121,2000-05-01,0.534226516623878,1.4307508632277854,11
122,2000-05-02,0.5216705428036256,1.436814532143566,11
123,2000-05-03,0.5090700237469462,1.4427555082647112,11
124,2000-05-04,0.4964260339385547,1.4485735057715599,11
125,2000-05-05,0.4837396532457917,1.4542682618661014,11
126,2000-05-06,0.47101196719891747,1.4598395313971573,11
127,2000-05-07,0.4582440677794967,1.4652870852794713,11
128,2000-05-08,0.44543705442516074,1.4706107125740928,11
129,2000-05-09,0.43142269161775093,1.4762840465073357,10
130,2000-05-10,0.4185476584764186,1.4813335988485843,10
131,2000-05-11,0.4056378086169656,1.4862589209673185,10
132,2000-05-12,0.3926942504043247,1.491059894875898,10
133,2000-05-13,0.3797180892955657,1.4957365147514392,10
134,2000-05-14,0.3667104507522306,1.5002887729974086,10
135,2000-05-15,0.35367247538652746,1.5047166829911585,10
136,2000-05-16,0.340605317698696,1.5090202732923372,10
137,2000-05-17,0.32751014262806927,1.5131995812102144,10
138,2000-05-18,0.314388120155376,1.5172546463393108,10
139,2000-05-19,0.30124041909757787,1.5211855052150256,10
140,2000-05-20,0.2880682018203014,1.5249921884984639,10
141,2000-05-21,0.2748726213798052,1.5286747217257668,10
142,2000-05-22,0.26165482165490683,1.5322331298409373,10
143,2000-05-23,0.24841593986833138,1.5356674449385133,10
144,2000-05-24,0.23515711009332896,1.5389777161603229,10
145,2000-05-25,0.22187946620851154,1.5421640205332148,10
146,2000-05-26,0.20858414326930566,1.545226473600651,10
147,2000-05-27,0.1952722770676566,1.548165238851324,10
148,2000-05-28,0.1819450023356013,1.5509805350428958,10
149,2000-05-29,0.1686034503874739,1.5536726405565544,10
150,2000-05-30,0.15524874698294616,1.5562418941271234,10
151,2000-05-31,0.1418820109106336,1.5586886919238452,10
152,2000-06-01,0.12850435337471056,1.561013481889652,10
153,2000-06-02,0.11511687792200141,1.5632167569530642,10
154,2000-06-03,0.10172068055220419,1.5652990487394471,10
155,2000-06-04,0.08831684981982371,1.5672609227449874,10
156,2000-06-05,0.07490646701474084,1.569102975007153,10
157,2000-06-06,0.0614906067205711,1.5708258295382058,10
158,2000-06-07,0.0480703380812014,1.5724301354182468,10
159,2000-06-08,0.034646726910980793,1.5739165625272629,10
160,2000-06-09,0.021220838374800387,1.5752857953481147,10
161,2000-06-10,0.007793739450964304,1.576538524809534,10
162,2000-06-11,-0.00563349997118019,1.5776754383145215,10
163,2000-06-12,-0.019059808409545406,1.5786972077275874,10
164,2000-06-13,-0.0324841169107117,1.5796044747109599,10
165,2000-06-14,-0.045905365353863616,1.5803978333498951,10
166,2000-06-15,-0.059322509383198226,1.5810778117671702,10
167,2000-06-16,-0.0727345259825767,1.5816448563837728,10
168,2000-06-17,-0.08614041607026503,1.5820993230293046,10
169,2000-06-18,-0.0995392035944489,1.5824414774990023,10
170,2000-06-19,-0.1129299319227143,1.5826715052743807,10
171,2000-06-20,-0.12631165916918927,1.5827895276453419,10
172,2000-06-21,-0.13968345417677902,1.5827956204009732,10
173,2000-06-22,-0.15304439430548328,1.5826898315071003,10
174,2000-06-23,-0.16639356530699062,1.5824721952399718,10
175,2000-06-24,-0.17973006275279685,1.5821427416645502,10
176,2000-06-25,-0.19305299403587947,1.581701501734113,10
177,2000-06-26,-0.20636147999415236,1.5811485092120294,10
178,2000-06-27,-0.21965465555843672,1.5804838008542001,10
179,2000-06-28,-0.23293166927225076,1.5797074160227693,10
180,2000-06-29,-0.246191681922016,1.5788193965183213,10
181,2000-06-30,-0.25943386478097225,1.5778197871385353,10
182,2000-07-01,-0.27265739801670347,1.5767086372256487,10
183,2000-07-02,-0.28586146957139263,1.5754860031086977,10
